,Time,PV_input_current(A),PV_input_voltage(V),Ambient_temp,Irradiance,PV_temp,PV_no.
74,2024-11-01 07:45:00,3.42,713.4,28.8,161.4,32.6,5
75,2024-11-01 07:45:00,0.83,713.4,28.8,161.4,32.6,6
76,2024-11-01 07:45:00,3.45,716.3,28.8,161.4,32.6,7
77,2024-11-01 07:45:00,0.84,716.3,28.8,161.4,32.6,8
78,2024-11-01 07:45:00,3.42,712.9,28.8,161.4,32.6,9
79,2024-11-01 07:45:00,0.84,712.9,28.8,161.4,32.6,10
80,2024-11-01 08:00:00,4.04,712.5,29.4,203.6,34.8,1
81,2024-11-01 08:00:00,1.23,712.5,29.4,203.6,34.8,2
82,2024-11-01 08:00:00,4.01,702.4,29.4,203.6,34.8,3
83,2024-11-01 08:00:00,1.24,702.4,29.4,203.6,34.8,4
84,2024-11-01 08:00:00,4.02,705.9,29.4,203.6,34.8,5
85,2024-11-01 08:00:00,1.23,705.9,29.4,203.6,34.8,6
86,2024-11-01 08:00:00,4.07,708.8,29.4,203.6,34.8,7
87,2024-11-01 08:00:00,1.44,708.8,29.4,203.6,34.8,8
88,2024-11-01 08:00:00,4.03,706.9,29.4,203.6,34.8,9
89,2024-11-01 08:00:00,1.24,706.9,29.4,203.6,34.8,10
90,2024-11-01 08:15:00,4.65,706.5,30.1,236.6,33.3,1
91,2024-11-01 08:15:00,1.83,706.5,30.1,236.6,33.3,2
92,2024-11-01 08:15:00,4.64,700.7,30.1,236.6,33.3,3
93,2024-11-01 08:15:00,1.84,700.7,30.1,236.6,33.3,4
94,2024-11-01 08:15:00,4.63,707.4,30.1,236.6,33.3,5
95,2024-11-01 08:15:00,1.83,707.4,30.1,236.6,33.3,6
96,2024-11-01 08:15:00,4.68,707.1,30.1,236.6,33.3,7
97,2024-11-01 08:15:00,1.84,707.1,30.1,236.6,33.3,8
98,2024-11-01 08:15:00,4.69,706.9,30.1,236.6,33.3,9
99,2024-11-01 08:15:00,1.84,706.9,30.1,236.6,33.3,10
100,2024-11-01 08:30:00,5.27,700.5,30.1,274.4,35.0,1
101,2024-11-01 08:30:00,2.43,700.5,30.1,274.4,35.0,2
102,2024-11-01 08:30:00,5.25,694.6,30.1,274.4,35.0,3
103,2024-11-01 08:30:00,2.44,694.6,30.1,274.4,35.0,4
104,2024-11-01 08:30:00,5.43,701.9,30.1,274.4,35.0,5
105,2024-11-01 08:30:00,2.43,701.9,30.1,274.4,35.0,6
106,2024-11-01 08:30:00,5.29,695.3,30.1,274.4,35.0,7
107,2024-11-01 08:30:00,2.44,695.3,30.1,274.4,35.0,8
108,2024-11-01 08:30:00,5.3,700.9,30.1,274.4,35.0,9
109,2024-11-01 08:30:00,2.44,700.9,30.1,274.4,35.0,10
110,2024-11-01 08:45:00,5.89,694.6,31.0,306.2,38.7,1
111,2024-11-01 08:45:00,3.03,694.6,31.0,306.2,38.7,2
112,2024-11-01 08:45:00,5.81,688.5,31.0,306.2,38.7,3
113,2024-11-01 08:45:00,3.04,688.5,31.0,306.2,38.7,4
114,2024-11-01 08:45:00,5.87,683.3,31.0,306.2,38.7,5
115,2024-11-01 08:45:00,3.03,683.3,31.0,306.2,38.7,6
116,2024-11-01 08:45:00,5.94,689.0,31.0,306.2,38.7,7
117,2024-11-01 08:45:00,3.04,689.0,31.0,306.2,38.7,8
118,2024-11-01 08:45:00,5.76,694.6,31.0,306.2,38.7,9
119,2024-11-01 08:45:00,3.04,694.6,31.0,306.2,38.7,10
120,2024-11-01 09:00:00,6.29,678.2,31.7,325.1,38.4,1
121,2024-11-01 09:00:00,3.63,678.2,31.7,325.1,38.4,2
122,2024-11-01 09:00:00,6.21,687.9,31.7,325.1,38.4,3
123,2024-11-01 09:00:00,3.64,687.9,31.7,325.1,38.4,4
124,2024-11-01 09:00:00,6.23,677.4,31.7,325.1,38.4,5
125,2024-11-01 09:00:00,3.63,677.4,31.7,325.1,38.4,6
126,2024-11-01 09:00:00,6.34,683.1,31.7,325.1,38.4,7
127,2024-11-01 09:00:00,3.64,683.1,31.7,325.1,38.4,8
128,2024-11-01 09:00:00,6.29,676.8,31.7,325.1,38.4,9
129,2024-11-01 09:00:00,3.64,676.8,31.7,325.1,38.4,10
130,2024-11-01 09:15:00,6.7,682.5,32.4,348.3,40.3,1
131,2024-11-01 09:15:00,4.25,682.5,32.4,348.3,40.3,2
132,2024-11-01 09:15:00,6.66,670.5,32.4,348.3,40.3,3
133,2024-11-01 09:15:00,4.24,670.5,32.4,348.3,40.3,4
134,2024-11-01 09:15:00,6.85,669.2,32.4,348.3,40.3,5
135,2024-11-01 09:15:00,4.25,669.2,32.4,348.3,40.3,6
136,2024-11-01 09:15:00,6.77,681.3,32.4,348.3,40.3,7
137,2024-11-01 09:15:00,4.25,681.3,32.4,348.3,40.3,8
138,2024-11-01 09:15:00,6.69,675.3,32.4,348.3,40.3,9
139,2024-11-01 09:15:00,4.25,675.3,32.4,348.3,40.3,10
140,2024-11-01 09:30:00,7.12,658.5,32.2,364.1,40.9,1
141,2024-11-01 09:30:00,4.86,658.5,32.2,364.1,40.9,2
142,2024-11-01 09:30:00,6.97,670.6,32.2,364.1,40.9,3
143,2024-11-01 09:30:00,4.84,670.6,32.2,364.1,40.9,4
144,2024-11-01 09:30:00,7.09,665.3,32.2,364.1,40.9,5
145,2024-11-01 09:30:00,4.66,665.3,32.2,364.1,40.9,6
146,2024-11-01 09:30:00,6.99,671.1,32.2,364.1,40.9,7
147,2024-11-01 09:30:00,4.86,671.1,32.2,364.1,40.9,8
148,2024-11-01 09:30:00,7.01,675.4,32.2,364.1,40.9,9
149,2024-11-01 09:30:00,4.85,675.4,32.2,364.1,40.9,10
150,2024-11-01 09:45:00,7.34,662.6,35.1,381.9,43.0,1
151,2024-11-01 09:45:00,5.26,662.6,35.1,381.9,43.0,2
152,2024-11-01 09:45:00,7.26,670.0,35.1,381.9,43.0,3
153,2024-11-01 09:45:00,5.24,670.0,35.1,381.9,43.0,4
154,2024-11-01 09:45:00,7.32,659.3,35.1,381.9,43.0,5
155,2024-11-01 09:45:00,5.2,659.3,35.1,381.9,43.0,6
156,2024-11-01 09:45:00,7.44,665.1,35.1,381.9,43.0,7
157,2024-11-01 09:45:00,5.27,665.1,35.1,381.9,43.0,8
158,2024-11-01 09:45:00,7.37,664.8,35.1,381.9,43.0,9
159,2024-11-01 09:45:00,5.26,664.8,35.1,381.9,43.0,10
160,2024-11-01 10:00:00,7.86,658.5,34.6,395.9,43.9,1
161,2024-11-01 10:00:00,5.89,658.5,34.6,395.9,43.9,2
